시간,2025-03-01 15:15:01,2025-03-01 15:15:07
그래프 넘버,1,1
전류R,0,2
전류S,0,0
전류T,0,0
진동,0,0
베어링온도,0,0
권선온도,0,0
전류R예측,0,0
전류S예측,0,5
전류T예측,0,0
진동예측,0,0
베어링온도예측,0,0
권선온도예측,0,0
경보,0,0
