시간,2025-03-01 14:44:14
전류R,1
전류S,3
전류T,2
진동,0
베어링온도,0
권선온도,0
전류R예측,0
전류S예측,0
전류T예측,0
진동예측,0
베어링온도예측,0
권선온도예측,0
경보,0
