Table,Address0,Address1,Address2,Address3,Address4,Address5,Address6,Address7,Address8,Address9,Address10,Address11,Address12,Address13,Address14,Address15,Address16,Address17,Address18,Address19
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,310,274,663,26,27,21,30,10,27550,40372,310,277,666,26,29,26,33,11,27553
4,2,445,689,496,20,30,29,28,5,34060,40617,450,690,499,22,34,29,32,8,34060
4,3,856,1015,995,21,27,28,24,10,23156,3426,857,1019,999,23,30,33,25,15,23157
4,4,672,839,259,28,27,27,23,12,22287,47481,676,839,264,28,27,28,26,14,22287
4,5,366,273,961,23,26,25,23,12,18292,12637,366,278,961,28,31,27,27,16,18294
4,6,87,530,155,25,24,27,25,7,29940,31913,91,534,160,29,27,29,30,10,29942
4,7,234,542,161,25,26,25,24,14,4195,11498,234,542,165,25,28,29,28,19,4196
4,8,872,338,630,22,21,24,21,13,54383,49770,872,340,634,25,26,28,25,14,54383
